入库单号,入库日期,操作者ID,商品ID,商品名称,仓库名,入库数量,入库单价,入库总价,供应商,仓库地址,操作时间,快递单号,快递手机号,仓库备注 
IN-20250228000001,2025/2/28,XXXX,BJ0018,53度飞天茅台（系列酒）[ 100ml｜节气酒 ],1号仓,3,699,2097,期初入库,广州市荔湾区,,,,
IN-20250228000001,2025/2/28,XXXX,BJ0019,53度飞天茅台（系列酒）[ 500ml｜节气酒 ],1号仓,3,5000,15000,期初入库,广州市荔湾区,,,,
